Neighborhooods - Analysis Boundaries,Unit Type (group),Number of Alarms
West of Twin Peaks,TRUCK,6729
North Beach,TRUCK,6536
Hayes Valley,TRUCK,7740
Castro/Upper Market,TRUCK,8473
Outer Richmond,TRUCK,7230
Nob Hill,TRUCK,12540
Western Addition,TRUCK,13395
Sunset/Parkside,TRUCK,9094
Bayview Hunters Point,TRUCK,16044
Financial District/South Beach,TRUCK,28525
Mission,TRUCK,24989
South of Market,TRUCK,26811
Tenderloin,TRUCK,44996
Lincoln Park,MEDIC,473
McLaren Park,MEDIC,823
Seacliff,MEDIC,914
Presidio,MEDIC,2661
Glen Park,MEDIC,4090
Twin Peaks,MEDIC,5115
Golden Gate Park,MEDIC,5209
Treasure Island,MEDIC,8081
Presidio Heights,MEDIC,6174
Japantown,MEDIC,7792
Portola,MEDIC,10401
Noe Valley,MEDIC,8327
Visitacion Valley,MEDIC,12970
Lone Mountain/USF,MEDIC,9634
Oceanview/Merced/Ingleside,MEDIC,13369
Inner Richmond,MEDIC,10176
Mission Bay,MEDIC,11714
Outer Mission,MEDIC,14906
Lakeshore,MEDIC,13184
Inner Sunset,MEDIC,12073
Haight Ashbury,MEDIC,13631
Russian Hill,MEDIC,11018
Bernal Heights,MEDIC,17281
Potrero Hill,MEDIC,15746
Marina,MEDIC,13714
Excelsior,MEDIC,21092
Chinatown,MEDIC,15541
Pacific Heights,MEDIC,13440
West of Twin Peaks,MEDIC,19810
North Beach,MEDIC,17766
Hayes Valley,MEDIC,21875
Castro/Upper Market,MEDIC,23644
Outer Richmond,MEDIC,20905
Nob Hill,MEDIC,27086
Western Addition,MEDIC,30453
Sunset/Parkside,MEDIC,34812
Bayview Hunters Point,MEDIC,53013
Financial District/South Beach,MEDIC,53846
Mission,MEDIC,93887
South of Market,MEDIC,104488
Tenderloin,MEDIC,133054
Lincoln Park,ENGINE,1090
McLaren Park,ENGINE,1457
Seacliff,ENGINE,1829
Presidio,ENGINE,5252
Glen Park,ENGINE,6042
Twin Peaks,ENGINE,7044
Golden Gate Park,ENGINE,8038
Treasure Island,ENGINE,7389
Presidio Heights,ENGINE,9836
Japantown,ENGINE,10539
Portola,ENGINE,12033
Noe Valley,ENGINE,12836
Visitacion Valley,ENGINE,15431
Lone Mountain/USF,ENGINE,15810
Oceanview/Merced/Ingleside,ENGINE,16498
Inner Richmond,ENGINE,17264
Mission Bay,ENGINE,16088
Outer Mission,ENGINE,17456
Lakeshore,ENGINE,17716
Inner Sunset,ENGINE,20374
Haight Ashbury,ENGINE,19714
Russian Hill,ENGINE,20703
Bernal Heights,ENGINE,21117
Potrero Hill,ENGINE,22095
Marina,ENGINE,22597
Excelsior,ENGINE,26430
Chinatown,ENGINE,23904
Pacific Heights,ENGINE,26014
West of Twin Peaks,ENGINE,26853
North Beach,ENGINE,28871
Hayes Valley,ENGINE,31140
Castro/Upper Market,ENGINE,30553
Outer Richmond,ENGINE,33331
Nob Hill,ENGINE,40845
Western Addition,ENGINE,42187
Sunset/Parkside,ENGINE,49933
Bayview Hunters Point,ENGINE,61974
Financial District/South Beach,ENGINE,77857
Mission,ENGINE,105389
South of Market,ENGINE,111965
Tenderloin,ENGINE,146714
